keyword,cluster,volume,kd,cpc,intent,paa,aio,fs,sessoes,score,variante_de,norm
biquini para praia esportivo,Biquini e top,,,,,False,False,False,,,,biquini para praia esportivo
biquini para stand up paddle,Biquini e top,0.0,0.0,0.0,,False,False,False,0.0,0.0,,biquini para stand up paddle
biquini para surf infantil,Biquini e top,,,,,False,False,False,,,,biquini para surf infantil
biquini para surfar,Biquini e top,0.0,0.0,0.14,,False,False,False,0.0,0.0,,biquini para surfar
biquini para vôlei de praia,Biquini e top,,,,,False,False,False,,,,biquini para volei de praia
biquini que não sai,Biquini e top,,,,,False,False,False,,,,biquini que nao sai
biquini que não sai no mar,Biquini e top,,,,,False,False,False,,,,biquini que nao sai no mar
biquíni de surf,Biquini e top,0.0,0.0,0.15,,False,False,False,0.0,0.0,biquini de surf,biquini de surf
biquíni para surfar,Biquini e top,0.0,0.0,0.0,,False,False,False,0.0,0.0,biquini para surfar,biquini para surfar
sutiã de surf,Biquini e top,,,,,False,False,False,,,,sutia de surf
top com manga longa surf,Biquini e top,,,,,False,False,False,,,,top com manga longa surf
top de biquini esportivo,Biquini e top,,,,,False,False,False,,,,top de biquini esportivo
top de lycra feminino,Biquini e top,0.0,0.0,0.0,,False,False,False,0.0,0.0,,top de lycra feminino
top de neoprene feminino,Biquini e top,,,,,False,False,False,,,,top de neoprene feminino
top de surf feminino,Biquini e top,,,,,False,False,False,,,,top de surf feminino
top esportivo para surf,Biquini e top,,,,,False,False,False,,,,top esportivo para surf
top esportivo praia,Biquini e top,,,,,False,False,False,,,,top esportivo praia
top para surfar,Biquini e top,,,,,False,False,False,,,,top para surfar
sapatilha aquatica,Calcado aquatico,12100.0,20.0,0.04,Commercial,True,True,False,350.9,280.7,,sapatilha aquatica
sapatilha aquática,Calcado aquatico,3600.0,23.0,0.04,Commercial,True,False,False,104.4,83.5,sapatilha aquatica,sapatilha aquatica
sapatilha beach tennis,Calcado aquatico,1600.0,14.0,0.05,Commercial,True,False,False,78.4,62.7,,sapatilha beach tennis
sapatilha nautica,Calcado aquatico,2400.0,23.0,0.04,"Informational, Transactional",True,False,False,69.6,62.6,,sapatilha nautica
sapatilha aquatica feminina,Calcado aquatico,1600.0,25.0,0.03,Commercial,True,False,False,46.4,37.1,,sapatilha aquatica feminina
sapatilha para praia,Calcado aquatico,1600.0,25.0,0.03,Commercial,True,False,False,46.4,37.1,,sapatilha para praia
neoprene sapatilha,Calcado aquatico,1300.0,17.0,0.05,Commercial,True,False,False,37.7,30.2,,neoprene sapatilha
sapatilha em neoprene,Calcado aquatico,1300.0,17.0,0.05,Commercial,True,False,False,37.7,30.2,,sapatilha em neoprene
sapatilha neoprene,Calcado aquatico,1600.0,29.0,0.05,"Informational, Commercial",True,False,False,46.4,23.2,,sapatilha neoprene
sapatilha para beach tennis,Calcado aquatico,1600.0,15.0,0.05,"Informational, Commercial",True,False,False,46.4,23.2,,sapatilha para beach tennis
sapatilhas para praia,Calcado aquatico,1000.0,28.0,0.03,"Informational, Commercial",True,False,False,29.0,14.5,,sapatilhas para praia
sapatilha para cachoeira,Calcado aquatico,590.0,24.0,0.03,Commercial,True,False,False,17.1,13.7,,sapatilha para cachoeira
sapato aquatico,Calcado aquatico,720.0,25.0,0.04,"Informational, Commercial",True,False,False,20.9,10.4,,sapato aquatico
tenis aquatico,Calcado aquatico,720.0,24.0,0.06,"Informational, Commercial",True,False,False,20.9,10.4,,tenis aquatico
sapatilha antiderrapante,Calcado aquatico,720.0,14.0,0.06,Informational,True,False,False,35.3,8.8,,sapatilha antiderrapante
sapatilha de neoprene,Calcado aquatico,590.0,23.0,0.04,"Informational, Commercial",True,False,False,17.1,8.6,,sapatilha de neoprene
sapatilha aquatica masculina,Calcado aquatico,590.0,22.0,0.04,"Informational, Commercial",True,False,False,17.1,8.6,,sapatilha aquatica masculina
sapatilha de praia,Calcado aquatico,590.0,23.0,0.03,"Informational, Commercial",True,False,False,17.1,8.6,,sapatilha de praia
sapatilha nautica feminina,Calcado aquatico,590.0,24.0,0.03,"Informational, Commercial",True,False,False,17.1,8.6,,sapatilha nautica feminina
sapatilha nautica masculina,Calcado aquatico,590.0,24.0,0.04,"Informational, Commercial",True,False,False,17.1,8.6,,sapatilha nautica masculina
sapatilha náutica,Calcado aquatico,480.0,23.0,0.04,"Informational, Commercial",True,False,False,13.9,7.0,sapatilha nautica,sapatilha nautica
sapato de praia,Calcado aquatico,480.0,25.0,0.04,"Informational, Commercial",True,False,False,13.9,7.0,,sapato de praia
meia aquatica,Calcado aquatico,260.0,24.0,0.03,Commercial,True,False,False,7.5,6.0,,meia aquatica
sapatilha esportiva,Calcado aquatico,390.0,16.0,0.09,"Informational, Commercial",False,False,False,11.3,5.7,,sapatilha esportiva
sapatilha para agua,Calcado aquatico,390.0,22.0,0.03,"Informational, Commercial",True,False,False,11.3,5.7,,sapatilha para agua
sapatilha para piscina,Calcado aquatico,390.0,24.0,0.04,"Informational, Commercial",True,False,False,11.3,5.7,,sapatilha para piscina
botinha de neoprene,Calcado aquatico,210.0,7.0,0.05,"Informational, Commercial",True,False,False,10.3,5.2,,botinha de neoprene
bota de neoprene,Calcado aquatico,170.0,8.0,0.04,"Informational, Commercial",True,False,False,8.3,4.2,,bota de neoprene
tenis para agua,Calcado aquatico,260.0,24.0,0.07,"Informational, Commercial",True,False,False,7.5,3.8,,tenis para agua
sapatilhas aquaticas,Calcado aquatico,480.0,22.0,0.03,Informational,True,False,False,13.9,3.5,,sapatilhas aquaticas
sapatilha para mar,Calcado aquatico,140.0,23.0,0.04,Commercial,True,False,False,4.1,3.3,,sapatilha para mar
sapatilha para areia,Calcado aquatico,210.0,23.0,0.06,"Informational, Commercial",True,False,False,6.1,3.0,,sapatilha para areia
sapatilha praia,Calcado aquatico,390.0,23.0,0.04,Informational,True,False,False,11.3,2.8,,sapatilha praia
sapatilha aquatica antiderrapante,Calcado aquatico,110.0,22.0,0.04,Commercial,True,False,False,3.2,2.6,,sapatilha aquatica antiderrapante
bota aquatica,Calcado aquatico,140.0,23.0,0.04,"Informational, Commercial",True,False,False,4.1,2.0,,bota aquatica
sapatilha neoprene feminina,Calcado aquatico,90.0,23.0,0.05,"Informational, Commercial",True,False,False,2.6,1.3,,sapatilha neoprene feminina
sapatilha para esportes aquaticos,Calcado aquatico,40.0,0.0,0.06,,False,False,False,2.0,0.8,,sapatilha para esportes aquaticos
botinha de surf,Calcado aquatico,30.0,0.0,0.07,,False,False,False,1.5,0.6,,botinha de surf
botinha de neoprene surf,Calcado aquatico,20.0,0.0,0.06,,False,False,False,1.0,0.4,,botinha de neoprene surf
sapatilha para esportes aquáticos,Calcado aquatico,20.0,0.0,0.06,,False,False,False,1.0,0.4,sapatilha para esportes aquaticos,sapatilha para esportes aquaticos
sapatilha para surf,Calcado aquatico,20.0,0.0,0.07,,False,False,False,1.0,0.4,,sapatilha para surf
sapatilha neoprene masculina,Calcado aquatico,20.0,0.0,0.03,,False,False,False,1.0,0.4,,sapatilha neoprene masculina
sapatilha para areia quente,Calcado aquatico,20.0,0.0,0.03,,False,False,False,1.0,0.4,,sapatilha para areia quente
sapatilha para o mar,Calcado aquatico,20.0,0.0,0.05,,False,False,False,1.0,0.4,,sapatilha para o mar
sapatilha para pedras,Calcado aquatico,20.0,0.0,0.04,,False,False,False,1.0,0.4,,sapatilha para pedras
sapatilha para rio,Calcado aquatico,20.0,0.0,0.03,,False,False,False,1.0,0.4,,sapatilha para rio
sapatilha surf,Calcado aquatico,20.0,0.0,0.07,,False,False,False,1.0,0.4,,sapatilha surf
sapatilha aquatica adulto,Calcado aquatico,10.0,0.0,0.04,,False,False,False,0.5,0.2,,sapatilha aquatica adulto
sapatilha para futevolei,Calcado aquatico,10.0,0.0,0.04,,False,False,False,0.5,0.2,,sapatilha para futevolei
sapatilha antiderrapante praia,Calcado aquatico,0.0,0.0,0.0,,False,False,False,0.0,0.0,,sapatilha antiderrapante praia
sapatilha esportiva neoprene,Calcado aquatico,,,,,False,False,False,,,,sapatilha esportiva neoprene
sapatilha neoprene surf,Calcado aquatico,0.0,0.0,0.0,,False,False,False,0.0,0.0,,sapatilha neoprene surf
sapatilha para pedra surf,Calcado aquatico,,,,,False,False,False,,,,sapatilha para pedra surf
botinha aquatica,Calcado aquatico,,,,,False,False,False,,,,botinha aquatica
sapatilha antiderrapante para praia,Calcado aquatico,0.0,0.0,0.0,,False,False,False,0.0,0.0,,sapatilha antiderrapante para praia
sapatilha de surf,Calcado aquatico,0.0,0.0,0.04,,False,False,False,0.0,0.0,,sapatilha de surf
sapatilha neoprene cano alto,Calcado aquatico,,,,,False,False,False,,,,sapatilha neoprene cano alto
sapatilha para costao,Calcado aquatico,,,,,False,False,False,,,,sapatilha para costao
sapatilha para kitesurf,Calcado aquatico,,,,,False,False,False,,,,sapatilha para kitesurf
sapatilha para pedra,Calcado aquatico,0.0,0.0,0.04,,False,False,False,0.0,0.0,,sapatilha para pedra
sapatilha para stand up paddle,Calcado aquatico,,,,,False,False,False,,,,sapatilha para stand up paddle
canga de praia,Canga e acessorios,14800.0,19.0,0.1,Informational,True,False,False,429.2,107.3,,canga de praia
canga de praia grande,Canga e acessorios,590.0,21.0,0.09,"Informational, Commercial",True,False,False,17.1,8.6,,canga de praia grande
canga estampada,Canga e acessorios,140.0,7.0,0.29,"Informational, Commercial",False,False,False,6.9,3.5,,canga estampada
pareô de praia,Canga e acessorios,50.0,0.0,0.18,,False,False,False,2.5,1.0,,pareo de praia
equipamento de surf iniciante,Canga e acessorios,,,,,False,False,False,,,,equipamento de surf iniciante
melhores praias para surfar no brasil,Informacional / GEO,90.0,11.0,0.09,Commercial,True,True,False,4.4,3.5,,melhores praias para surfar no brasil
o que é rash guard,Informacional / GEO,260.0,5.0,0.07,Informational,True,True,False,12.7,3.2,,o que e rash guard
melhores maios para natação,Informacional / GEO,70.0,0.0,0.08,,False,False,False,3.4,1.4,,melhores maios para natacao
o que vestir na praia,Informacional / GEO,40.0,0.0,0.1,,False,False,False,2.0,0.8,,o que vestir na praia
qual a melhor marca de biquini,Informacional / GEO,30.0,0.0,0.16,,False,False,False,1.5,0.6,,qual a melhor marca de biquini
como começar a surfar,Informacional / GEO,20.0,0.0,0.13,,False,False,False,1.0,0.4,,como comecar a surfar
como lavar roupa de neoprene,Informacional / GEO,20.0,0.0,0.0,,False,False,False,1.0,0.4,,como lavar roupa de neoprene
como lavar roupa de praia,Informacional / GEO,20.0,0.0,0.0,,False,False,False,1.0,0.4,,como lavar roupa de praia
como vestir roupa de neoprene,Informacional / GEO,20.0,0.0,0.0,,False,False,False,1.0,0.4,,como vestir roupa de neoprene
o que é beachwear,Informacional / GEO,20.0,0.0,0.0,,False,False,False,1.0,0.4,,o que e beachwear
como conservar roupa de praia,Informacional / GEO,,,,,False,False,False,,,,como conservar roupa de praia
como escolher lycra de surf,Informacional / GEO,,,,,False,False,False,,,,como escolher lycra de surf
como escolher maio de surf,Informacional / GEO,,,,,False,False,False,,,,como escolher maio de surf
como escolher roupa de neoprene,Informacional / GEO,,,,,False,False,False,,,,como escolher roupa de neoprene
como escolher tamanho de roupa de surf,Informacional / GEO,,,,,False,False,False,,,,como escolher tamanho de roupa de surf
como evitar assadura no surf,Informacional / GEO,,,,,False,False,False,,,,como evitar assadura no surf
como lavar lycra de surf,Informacional / GEO,,,,,False,False,False,,,,como lavar lycra de surf
como medir tamanho de biquini,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,como medir tamanho de biquini
como se proteger do sol no surf,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,como se proteger do sol no surf
como se trocar na praia,Informacional / GEO,,,,,False,False,False,,,,como se trocar na praia
como secar roupa de surf,Informacional / GEO,,,,,False,False,False,,,,como secar roupa de surf
como tirar parafina da lycra de surf,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,como tirar parafina da lycra de surf
como trocar de roupa na praia sem constrangimento,Informacional / GEO,,,,,False,False,False,,,,como trocar de roupa na praia sem constrangimento
como usar poncho de surf,Informacional / GEO,,,,,False,False,False,,,,como usar poncho de surf
como vestir a lycra de surf,Informacional / GEO,,,,,False,False,False,,,,como vestir a lycra de surf
diferença entre beachwear e surfwear,Informacional / GEO,,,,,False,False,False,,,,diferenca entre beachwear e surfwear
diferença entre neoprene e lycra,Informacional / GEO,,,,,False,False,False,,,,diferenca entre neoprene e lycra
diferença entre rash guard e lycra,Informacional / GEO,,,,,False,False,False,,,,diferenca entre rash guard e lycra
melhores marcas de surfwear do brasil,Informacional / GEO,,,,,False,False,False,,,,melhores marcas de surfwear do brasil
o que levar para o surf,Informacional / GEO,,,,,False,False,False,,,,o que levar para o surf
o que significa fps na roupa,Informacional / GEO,,,,,False,False,False,,,,o que significa fps na roupa
o que significa uv50,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,o que significa uv50
o que usar embaixo da lycra de surf,Informacional / GEO,,,,,False,False,False,,,,o que usar embaixo da lycra de surf
o que usar embaixo do maio de surf,Informacional / GEO,,,,,False,False,False,,,,o que usar embaixo do maio de surf
o que vestir para surfar,Informacional / GEO,,,,,False,False,False,,,,o que vestir para surfar
o que é lycra de surf,Informacional / GEO,,,,,False,False,False,,,,o que e lycra de surf
o que é poncho de surf,Informacional / GEO,,,,,False,False,False,,,,o que e poncho de surf
o que é tecido com proteção uv,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,o que e tecido com protecao uv
o que é uv50,Informacional / GEO,,,,,False,False,False,,,,o que e uv50
onde comprar lycra de surf,Informacional / GEO,,,,,False,False,False,,,,onde comprar lycra de surf
onde comprar poncho de surf,Informacional / GEO,,,,,False,False,False,,,,onde comprar poncho de surf
onde comprar roupa de surf,Informacional / GEO,,,,,False,False,False,,,,onde comprar roupa de surf
para que serve a lycra de surf,Informacional / GEO,,,,,False,False,False,,,,para que serve a lycra de surf
para que serve poncho de surf,Informacional / GEO,,,,,False,False,False,,,,para que serve poncho de surf
poncho de surf vale a pena,Informacional / GEO,,,,,False,False,False,,,,poncho de surf vale a pena
proteção uv da roupa dura quanto tempo,Informacional / GEO,,,,,False,False,False,,,,protecao uv da roupa dura quanto tempo
qual a diferença entre maio de surf e maio comum,Informacional / GEO,,,,,False,False,False,,,,qual a diferenca entre maio de surf e maio comum
qual biquini não sai surfando,Informacional / GEO,,,,,False,False,False,,,,qual biquini nao sai surfando
qual espessura de neoprene usar,Informacional / GEO,,,,,False,False,False,,,,qual espessura de neoprene usar
qual o tamanho do poncho de surf,Informacional / GEO,,,,,False,False,False,,,,qual o tamanho do poncho de surf
qual protetor solar para surf,Informacional / GEO,,,,,False,False,False,,,,qual protetor solar para surf
qual sabão lavar roupa de lycra surf,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,qual sabao lavar roupa de lycra surf
quando usar neoprene no surf,Informacional / GEO,,,,,False,False,False,,,,quando usar neoprene no surf
quanto custa uma roupa de surf,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,quanto custa uma roupa de surf
quanto tempo dura uma lycra de surf,Informacional / GEO,,,,,False,False,False,,,,quanto tempo dura uma lycra de surf
roupa com fps 50 funciona,Informacional / GEO,,,,,False,False,False,,,,roupa com fps 50 funciona
tabela de medidas roupa de surf,Informacional / GEO,,,,,False,False,False,,,,tabela de medidas roupa de surf
temperatura da água para usar neoprene,Informacional / GEO,,,,,False,False,False,,,,temperatura da agua para usar neoprene
onde comprar roupa de neoprene,Informacional / GEO,0.0,0.0,0.0,,False,False,False,0.0,0.0,,onde comprar roupa de neoprene
rash guard,"Lycra, camiseta UV e rash",18100.0,10.0,0.1,"Informational, Commercial",True,True,False,886.9,443.4,,rash guard
camisa uv,"Lycra, camiseta UV e rash",8100.0,20.0,0.13,Commercial,True,False,False,234.9,187.9,,camisa uv
blusa uv feminina,"Lycra, camiseta UV e rash",3600.0,15.0,0.11,Commercial,True,False,False,104.4,83.5,,blusa uv feminina
camiseta uv,"Lycra, camiseta UV e rash",3600.0,16.0,0.13,Commercial,True,False,False,104.4,83.5,,camiseta uv
blusa uv,"Lycra, camiseta UV e rash",2900.0,15.0,0.13,Commercial,True,False,False,84.1,67.3,,blusa uv
camiseta uv masculina,"Lycra, camiseta UV e rash",2900.0,17.0,0.11,Commercial,True,False,False,84.1,67.3,,camiseta uv masculina
camiseta uv feminina,"Lycra, camiseta UV e rash",1900.0,16.0,0.09,Commercial,True,False,False,55.1,44.1,,camiseta uv feminina
lycra surf,"Lycra, camiseta UV e rash",880.0,9.0,0.1,Commercial,False,False,False,43.1,34.5,,lycra surf
camiseta surf,"Lycra, camiseta UV e rash",720.0,8.0,0.13,Commercial,False,False,False,35.3,28.2,,camiseta surf
camiseta uv infantil,"Lycra, camiseta UV e rash",720.0,11.0,0.17,Commercial,False,False,False,35.3,28.2,,camiseta uv infantil
camiseta uv masculina manga longa,"Lycra, camiseta UV e rash",590.0,12.0,0.11,Commercial,True,False,False,28.9,23.1,,camiseta uv masculina manga longa
surf lycra,"Lycra, camiseta UV e rash",880.0,8.0,0.1,"Informational, Commercial",False,True,False,43.1,21.6,,surf lycra
camisa de praia feminina,"Lycra, camiseta UV e rash",880.0,19.0,0.13,Commercial,True,False,False,25.5,20.4,,camisa de praia feminina
camiseta surf masculina,"Lycra, camiseta UV e rash",480.0,13.0,0.13,Commercial,False,False,False,23.5,18.8,,camiseta surf masculina
surf lycras,"Lycra, camiseta UV e rash",590.0,10.0,0.1,"Informational, Commercial",True,True,False,28.9,14.4,,surf lycras
camiseta uv feminina manga longa,"Lycra, camiseta UV e rash",320.0,12.0,0.09,Commercial,True,False,False,15.7,12.6,,camiseta uv feminina manga longa
rash guard infantil,"Lycra, camiseta UV e rash",480.0,5.0,0.05,"Informational, Commercial",False,False,False,23.5,11.8,,rash guard infantil
camiseta proteção solar,"Lycra, camiseta UV e rash",480.0,21.0,0.1,Commercial,True,False,False,13.9,11.1,,camiseta protecao solar
camiseta com proteção uv,"Lycra, camiseta UV e rash",880.0,13.0,0.1,Informational,True,False,False,43.1,10.8,,camiseta com protecao uv
lycra surf masculina,"Lycra, camiseta UV e rash",260.0,7.0,0.09,Commercial,False,False,False,12.7,10.2,,lycra surf masculina
blusa com proteção uv,"Lycra, camiseta UV e rash",1300.0,18.0,0.08,Informational,True,False,False,37.7,9.4,,blusa com protecao uv
camisetas femininas surf,"Lycra, camiseta UV e rash",210.0,9.0,0.11,Commercial,False,False,False,10.3,8.2,,camisetas femininas surf
camisa uv pesca,"Lycra, camiseta UV e rash",260.0,17.0,0.11,Commercial,True,False,False,7.5,6.0,,camisa uv pesca
lycra de surf,"Lycra, camiseta UV e rash",140.0,8.0,0.08,Commercial,True,False,False,6.9,5.5,,lycra de surf
rash guard feminino,"Lycra, camiseta UV e rash",140.0,6.0,0.09,Commercial,True,False,False,6.9,5.5,,rash guard feminino
camiseta para surf feminina,"Lycra, camiseta UV e rash",210.0,9.0,0.11,"Informational, Commercial",False,False,False,10.3,5.2,,camiseta para surf feminina
camisa de proteção solar feminina,"Lycra, camiseta UV e rash",110.0,13.0,0.07,Commercial,True,False,False,5.4,4.3,,camisa de protecao solar feminina
camiseta manga longa surf,"Lycra, camiseta UV e rash",110.0,10.0,0.12,Commercial,False,False,False,5.4,4.3,,camiseta manga longa surf
camiseta uv 50 masculina,"Lycra, camiseta UV e rash",110.0,10.0,0.11,Commercial,True,False,False,5.4,4.3,,camiseta uv 50 masculina
camiseta surf feminina,"Lycra, camiseta UV e rash",170.0,11.0,0.15,"Informational, Commercial",False,False,False,8.3,4.2,,camiseta surf feminina
lycra surf feminina,"Lycra, camiseta UV e rash",170.0,7.0,0.12,"Informational, Commercial",False,False,False,8.3,4.2,,lycra surf feminina
camisa termica praia,"Lycra, camiseta UV e rash",140.0,23.0,0.06,"Informational, Transactional",True,False,False,4.1,3.7,,camisa termica praia
blusa de proteção solar feminina,"Lycra, camiseta UV e rash",140.0,14.0,0.06,"Informational, Commercial",True,False,False,6.9,3.5,,blusa de protecao solar feminina
camisa com proteção solar,"Lycra, camiseta UV e rash",480.0,16.0,0.11,Informational,True,False,False,13.9,3.5,,camisa com protecao solar
camiseta para piscina,"Lycra, camiseta UV e rash",140.0,23.0,0.07,Commercial,True,False,False,4.1,3.3,,camiseta para piscina
camiseta de praia feminina,"Lycra, camiseta UV e rash",140.0,0.0,0.12,,False,False,False,6.9,2.8,,camiseta de praia feminina
camisa de lycra,"Lycra, camiseta UV e rash",110.0,10.0,0.08,"Informational, Commercial",True,False,False,5.4,2.7,,camisa de lycra
roupa com proteção solar,"Lycra, camiseta UV e rash",210.0,13.0,0.13,Informational,True,False,False,10.3,2.6,,roupa com protecao solar
camisa de lycra surf,"Lycra, camiseta UV e rash",90.0,7.0,0.09,"Informational, Commercial",False,False,False,4.4,2.2,,camisa de lycra surf
camiseta de lycra,"Lycra, camiseta UV e rash",90.0,8.0,0.08,"Informational, Commercial",True,False,False,4.4,2.2,,camiseta de lycra
camiseta de praia masculina,"Lycra, camiseta UV e rash",90.0,17.0,0.16,Commercial,False,False,False,2.6,2.1,,camiseta de praia masculina
camisa de surfista masculina,"Lycra, camiseta UV e rash",140.0,15.0,0.13,"Informational, Commercial",False,False,False,4.1,2.0,,camisa de surfista masculina
camisa manga longa praia,"Lycra, camiseta UV e rash",140.0,18.0,0.11,"Informational, Commercial",True,False,False,4.1,2.0,,camisa manga longa praia
camiseta surfista,"Lycra, camiseta UV e rash",90.0,0.0,0.13,,False,False,False,4.4,1.8,,camiseta surfista
camisa uv surf,"Lycra, camiseta UV e rash",140.0,8.0,0.13,Informational,False,False,False,6.9,1.7,,camisa uv surf
camisa de proteção solar masculina,"Lycra, camiseta UV e rash",70.0,0.0,0.09,,False,False,False,3.4,1.4,,camisa de protecao solar masculina
camiseta lycra feminina,"Lycra, camiseta UV e rash",70.0,0.0,0.1,,False,False,False,3.4,1.4,,camiseta lycra feminina
camiseta uv com ziper,"Lycra, camiseta UV e rash",70.0,0.0,0.1,,False,False,False,3.4,1.4,,camiseta uv com ziper
camiseta uv50,"Lycra, camiseta UV e rash",70.0,0.0,0.1,,False,False,False,3.4,1.4,,camiseta uv50
camisetas lycra surf,"Lycra, camiseta UV e rash",70.0,0.0,0.11,,False,False,False,3.4,1.4,,camisetas lycra surf
rash guard masculino,"Lycra, camiseta UV e rash",70.0,0.0,0.08,,False,False,False,3.4,1.4,,rash guard masculino
rash guard para que serve,"Lycra, camiseta UV e rash",70.0,0.0,0.07,,False,False,False,3.4,1.4,,rash guard para que serve
camisa termica para praia,"Lycra, camiseta UV e rash",90.0,22.0,0.05,"Informational, Commercial",True,False,False,2.6,1.3,,camisa termica para praia
roupa com proteção uv,"Lycra, camiseta UV e rash",170.0,15.0,0.11,Informational,True,True,False,4.9,1.2,,roupa com protecao uv
camisa manga longa proteção solar,"Lycra, camiseta UV e rash",50.0,0.0,0.1,,False,False,False,2.5,1.0,,camisa manga longa protecao solar
camisa uv50,"Lycra, camiseta UV e rash",50.0,0.0,0.1,,False,False,False,2.5,1.0,,camisa uv50
camiseta lycra surf manga longa,"Lycra, camiseta UV e rash",50.0,0.0,0.09,,False,False,False,2.5,1.0,,camiseta lycra surf manga longa
lycra para surf,"Lycra, camiseta UV e rash",50.0,0.0,0.11,,False,False,False,2.5,1.0,,lycra para surf
camiseta anti uv,"Lycra, camiseta UV e rash",40.0,0.0,0.17,,False,False,False,2.0,0.8,,camiseta anti uv
camiseta lycra surf,"Lycra, camiseta UV e rash",40.0,0.0,0.11,,False,False,False,2.0,0.8,,camiseta lycra surf
