Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,biquini sem bojo,,,,,,390,9,0.09,0.99,935000,"Informational, Commercial","Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video","0.07,0.05,0.07,0.10,0.13,0.16,0.20,0.24,0.20,0.10,0.10,0.10",20,,
br,biquini sunkini,,,,,,90,13,0.11,1.00,294,Commercial,"Video, Image, Popular Products, Related Searches, Image Pack, Site Links","0.15,0.15,0.28,0.28,0.28,0.34,0.43,0.65,0.43,0.21,0.15,0.21",20,,
br,biquini surf feminino,,,,,,90,8,0.16,1.00,182,Commercial,"Video, Image, Popular Products, Related Searches, Image Pack, Site Links","0.33,0.33,0.33,0.33,0.52,0.42,0.42,0.80,0.66,0.33,0.33,0.33",20,,
br,biquini tomara que caia,,,,,,2400,9,0.16,1.00,574000,Informational,"Image, Popular Products, Related Searches, Image Pack, Site Links, Video","0.16,0.23,0.16,0.16,0.19,0.23,0.54,0.54,0.44,0.35,0.12,0.29",20,,
br,biquini uv,,,,,,110,7,0.17,1.00,174,"Informational, Commercial","Image Pack, Site Links, Video, Related Searches","0.15,0.15,0.21,0.15,0.28,0.43,0.34,0.65,0.53,0.12,0.15,0.15",20,,
br,biquíni de surf,,,,,,0,0,0.15,1.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,biquíni esportivo,,,,,,40,0,0.18,0.99,,,,"0.27,0.18,1.00,0.36,0.36,0.45,0.27,0.45,0.45,0.27,0.18,0.27",,,
br,biquíni para surfar,,,,,,0,0,0.00,0.00,,,,"0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,blusa com proteção uv,,,,,,1300,18,0.08,1.00,1200000,Informational,"People Also Ask, Related Searches, Image Pack, Site Links, Video, Image","0.20,0.16,0.24,0.20,0.24,0.24,0.36,0.52,0.44,0.27,0.24,0.20",20,,
br,blusa de proteção solar feminina,,,,,,140,14,0.06,1.00,215,"Informational, Commercial","Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos","0.12,0.15,0.12,0.19,0.29,0.29,0.29,0.23,0.23,0.15,0.12,0.09",20,,
br,blusa uv,,,,,,2900,15,0.13,1.00,198,Commercial,"Related Searches, Image Pack, Site Links, Video, People Also Ask, Popular Products","0.44,0.35,0.44,0.44,0.53,0.66,0.66,1.00,1.00,0.53,0.53,0.53",20,,
br,blusa uv feminina,,,,,,3600,15,0.11,1.00,196,Commercial,"Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.43,0.36,0.43,0.43,0.54,0.54,0.66,1.00,1.00,0.54,0.54,0.54",20,,
br,board short surf,,,,,,0,0,0.21,1.00,,,,"1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,boardshort,,,,,,2400,11,0.21,1.00,5200000,Commercial,"Site Links, Video, Image, Related Searches, Image Pack","0.19,0.19,0.12,0.12,0.07,0.05,0.44,0.23,0.12,0.19,0.16,0.29",20,,
br,boardshort masculino,,,,,,1300,10,0.17,1.00,161,Commercial,"Reviews, Video, Popular Products, Related Searches, Image Pack, Site Links","0.24,0.20,0.24,0.34,0.44,0.65,0.65,0.65,0.65,0.34,0.34,0.44",20,,
br,body de praia,,,,,,140,10,0.09,0.99,244,"Informational, Commercial","Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.34,0.28,0.34,0.34,0.53,0.43,0.65,0.65,0.65,0.34,0.21,0.34",20,,
br,body de surf feminino,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,body surf feminino,,,,,,110,7,0.32,1.00,193,Informational,"Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.33,0.33,0.33,0.33,0.33,0.33,0.42,0.80,1.00,1.00,0.42,0.52",20,,
br,bota de neoprene,,,,,,170,8,0.04,0.99,208,"Informational, Commercial","Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, Image Pack","0.36,0.54,0.44,0.19,0.15,0.19,0.15,0.19,0.19,0.15,0.15,0.29",20,,
br,botinha de neoprene surf,,,,,,20,0,0.06,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
br,calcinha de biquini alta,,,,,,90,7,0.12,1.00,199,Commercial,"Reviews, Video, Video Carousel, Popular Products, Related Searches, Image Pack, Site Links","0.06,0.06,0.21,0.21,0.28,0.34,0.43,0.65,0.65,0.21,0.15,0.15",20,,
br,calcinha de biquini asa delta,,,,,,70,0,0.13,1.00,,,,"0.09,0.14,0.19,0.19,0.14,0.33,1.00,0.66,0.42,0.23,0.23,0.23",,,
br,calça de neoprene,,,,,,90,7,0.07,1.00,197,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image","0.28,0.43,0.53,0.28,0.15,0.21,0.21,0.21,0.21,0.21,0.21,0.21",20,,
br,camisa com proteção solar,,,,,,480,16,0.11,1.00,193,Informational,"Related Searches, Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products","0.08,0.08,0.08,0.08,0.16,0.10,0.16,0.20,0.20,0.10,0.08,0.08",20,,
br,camisa de lycra,,,,,,110,10,0.08,1.00,171,"Informational, Commercial","Related Searches, Image Pack, Site Links, Image, People Also Ask, Popular Products","0.66,0.66,0.52,0.52,0.52,0.52,0.66,0.80,0.80,0.52,0.52,0.42",20,,
br,camisa de lycra surf,,,,,,90,7,0.09,1.00,171,"Informational, Commercial","Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.21,0.21,0.15,0.28,0.21,0.34,0.43,0.53,0.43,0.28,0.34,0.28",20,,
br,camisa de neoprene,,,,,,90,17,0.07,1.00,190,"Informational, Commercial","Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, Image Pack","0.28,0.34,0.21,0.34,0.21,0.28,0.21,0.28,0.34,0.21,0.28,0.28",20,,
br,camisa de praia feminina,,,,,,880,19,0.13,1.00,12900000,Commercial,"People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image","0.10,0.08,0.16,0.16,0.20,0.20,0.36,0.36,0.36,0.16,0.16,0.13",20,,
br,camisa de proteção solar feminina,,,,,,110,13,0.07,1.00,1050000,Commercial,"Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches","0.10,0.14,0.14,0.14,0.14,0.18,0.22,0.22,0.29,0.14,0.14,0.14",20,,
br,camisa de proteção solar masculina,,,,,,70,0,0.09,1.00,,,,"0.06,0.10,0.10,0.10,0.14,0.10,0.14,0.22,0.29,0.22,0.10,0.14",,,
br,camisa de surfista masculina,,,,,,140,15,0.13,1.00,202000,"Informational, Commercial","Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.28,0.28,0.28,0.43,0.53,0.65,0.34,0.34,0.28,0.21,0.21,0.12",20,,
br,camisa manga longa praia,,,,,,140,18,0.11,1.00,225,"Informational, Commercial","Image Pack, Site Links, Video, Image, People Also Ask, Popular Products","0.34,0.21,0.28,0.28,0.34,0.43,0.43,1.00,0.65,0.34,0.43,0.43",20,,
br,camisa manga longa proteção solar,,,,,,50,0,0.10,1.00,,,,"0.33,0.04,0.19,0.33,0.14,0.14,0.23,0.42,0.42,0.09,0.33,0.04",,,
br,camisa uv,,,,,,8100,20,0.13,1.00,196,Commercial,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos","0.29,0.19,0.29,0.24,0.29,0.36,0.44,0.54,0.54,0.44,0.36,0.36",20,,
br,camisa uv pesca,,,,,,260,17,0.11,1.00,206,Commercial,"Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches, Short Videos","0.36,0.23,0.19,0.23,0.19,0.29,0.36,0.36,0.44,0.29,0.36,0.29",20,,
br,camisa uv surf,,,,,,140,8,0.13,1.00,185,Informational,"Image Pack, Site Links, Video, Popular Products, Related Searches","0.18,0.14,0.18,0.22,0.22,0.29,0.35,0.43,0.43,0.29,0.18,0.22",20,,
br,camisa uv50,,,,,,50,0,0.10,1.00,,,,"0.08,0.08,0.04,0.04,0.54,0.06,0.10,0.10,0.10,0.06,0.08,0.06",,,
br,camiseta anti uv,,,,,,40,0,0.17,1.00,,,,"0.09,0.14,0.09,0.09,0.14,0.19,0.23,0.42,0.33,0.14,0.23,0.14",,,
br,camiseta com proteção uv,,,,,,880,13,0.10,1.00,197,Informational,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.16,0.24,0.20,0.13,0.20,0.20,0.24,0.44,0.44,0.24,0.20,0.16",20,,
br,camiseta de lycra,,,,,,90,8,0.08,1.00,204,"Informational, Commercial","Image Pack, Site Links, Video, Image, People Also Ask, Popular Products, Related Searches","0.42,0.33,0.42,0.33,0.42,0.52,0.42,0.66,0.52,0.42,0.23,0.33",20,,
br,camiseta de neoprene,,,,,,70,0,0.06,1.00,,,,"1.00,0.33,0.42,0.33,0.23,0.52,0.14,0.14,0.23,0.19,0.52,0.14",,,
br,camiseta de praia feminina,,,,,,140,0,0.12,1.00,,,,"0.02,0.01,0.05,0.04,0.07,0.07,0.09,0.14,1.00,0.05,0.07,0.03",,,
br,camiseta de praia masculina,,,,,,90,17,0.16,1.00,201,Commercial,"Related Searches, Image Pack, Site Links, Video, Popular Products","0.08,0.04,0.08,0.03,0.06,0.06,0.01,0.01,0.01,0.00,0.00,0.08",20,,
br,camiseta de surf colorida,,,,,,,,,,,,,,,,
br,camiseta de surf estampada,,,,,,,,,,,,,,,,
br,camiseta lycra feminina,,,,,,70,0,0.10,1.00,,,,"0.33,0.33,0.23,0.33,0.33,0.33,0.33,0.33,0.23,0.23,0.23,0.33",,,
br,camiseta lycra masculina,,,,,,30,0,0.09,1.00,,,,"0.17,0.11,0.11,0.11,0.11,0.11,0.29,0.82,0.17,0.11,0.11,0.11",,,
br,camiseta lycra surf,,,,,,40,0,0.11,1.00,,,,"0.41,0.11,0.11,0.11,0.11,0.23,0.29,0.17,0.29,0.23,0.23,0.17",,,
br,camiseta lycra surf manga longa,,,,,,50,0,0.09,1.00,,,,"0.35,0.14,0.28,0.21,0.21,0.28,0.35,1.00,0.78,0.14,0.14,0.21",,,
br,camiseta lycra surf proteção solar,,,,,,,,,,,,,,,,
br,camiseta manga longa praia,,,,,,30,0,0.09,1.00,,,,"0.14,0.00,0.00,0.28,0.28,0.42,0.42,0.71,0.71,1.00,0.14,0.28",,,
br,camiseta manga longa surf,,,,,,110,10,0.12,1.00,163,Commercial,"Site Links, Video, Popular Products, Related Searches","0.52,0.52,0.42,0.42,0.33,0.42,0.52,0.80,0.42,0.42,0.42,0.33",20,,
br,camiseta neoprene surf,,,,,,90,18,0.09,1.00,196,"Informational, Commercial","Image Pack, Site Links, Video, Popular Products","0.15,0.42,0.26,0.07,0.26,0.26,0.19,0.26,0.11,0.03,0.03,0.11",20,,
br,camiseta para kitesurf,,,,,,,,,,,,,,,,
br,camiseta para nadar,,,,,,20,0,0.09,1.00,,,,"0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.26,0.26,0.00,0.00",,,
br,camiseta para natação,,,,,,140,21,0.07,1.00,244,Commercial,"Image Pack, Reviews, Popular Products, Related Searches, Site Links, Video, Image, Video Carousel, People Also Ask","0.18,0.18,0.23,0.28,0.23,0.18,0.15,0.35,0.18,0.11,0.23,0.23",20,,
br,camiseta para piscina,,,,,,140,23,0.07,1.00,223,Commercial,"Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.15,0.15,0.18,0.23,0.11,0.18,0.23,0.44,0.44,0.18,0.11,0.15",20,,
br,camiseta para stand up paddle,,,,,,,,,,,,,,,,
br,camiseta para surf,,,,,,30,0,0.12,1.00,,,,"0.07,0.07,0.07,0.07,0.07,0.07,0.15,0.19,0.19,0.11,0.11,0.07",,,
br,camiseta para surf feminina,,,,,,210,9,0.11,1.00,188,"Informational, Commercial","Image Pack, Site Links, Video, Image, Popular Products, Related Searches","0.23,0.23,0.15,0.19,0.29,0.29,0.36,0.54,0.36,0.19,0.23,0.23",20,,
br,camiseta proteção solar,,,,,,480,21,0.10,1.00,238,Commercial,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Popular Products, Related Searches","0.05,0.05,0.04,0.04,0.13,0.10,0.24,0.10,0.16,0.05,0.07,0.05",20,,
br,camiseta segunda pele surf,,,,,,,,,,,,,,,,
br,camiseta surf,,,,,,720,8,0.13,1.00,177,Commercial,"Image Pack, Site Links, Reviews, Video, Popular Products, Related Searches, Short Videos","0.10,0.10,0.29,0.22,0.13,0.16,0.20,0.29,0.22,0.10,0.13,0.13",20,,
br,camiseta surf com capuz,,,,,,,,,,,,,,,,
br,camiseta surf feminina,,,,,,170,11,0.15,1.00,174,"Informational, Commercial","Related Searches, Image Pack, Site Links, Video, Image, Popular Products","0.15,0.12,0.15,0.15,0.15,0.19,0.36,0.36,0.44,0.15,0.23,0.15",20,,
br,camiseta surf masculina,,,,,,480,13,0.13,1.00,182,Commercial,"Popular Products, Related Searches, Image Pack, Site Links, Video","0.08,0.07,0.07,0.08,0.10,0.10,0.20,0.24,0.20,0.13,0.10,0.08",20,,
br,camiseta surfista,,,,,,90,0,0.13,1.00,,,,"0.08,0.08,0.08,0.10,0.08,0.06,0.18,0.22,0.10,0.08,0.08,1.00",,,
br,camiseta surfwear,,,,,,20,0,0.18,1.00,,,,"0.00,0.21,0.14,0.07,0.14,0.14,0.14,0.21,0.14,0.07,0.14,0.07",,,
br,camiseta térmica surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,camiseta uv,,,,,,3600,16,0.13,1.00,193,Commercial,"Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.23,0.23,0.23,0.23,0.54,0.44,0.66,0.81,0.54,0.44,0.35,0.29",20,,
br,camiseta uv 50 masculina,,,,,,110,10,0.11,1.00,198,Commercial,"Site Links, Video, People Also Ask, Popular Products","0.10,0.07,0.07,0.07,0.10,0.23,0.43,0.43,1.00,0.53,0.17,0.17",20,,
br,camiseta uv com ziper,,,,,,70,0,0.10,1.00,,,,"0.50,0.50,0.50,0.50,0.14,0.14,0.14,0.14,0.21,0.78,0.78,1.00",,,
br,camiseta uv feminina,,,,,,1900,16,0.09,1.00,1160000,Commercial,"Image, People Also Ask, Related Searches, Image Pack, Site Links, Video","0.18,0.16,0.35,0.24,0.29,0.29,0.35,0.53,0.66,0.44,0.29,0.29",20,,
br,camiseta uv feminina manga longa,,,,,,320,12,0.09,1.00,184,Commercial,"Site Links, Video, People Also Ask, Popular Products, Related Searches, Image Pack","0.72,0.14,0.11,0.72,0.17,0.17,0.26,0.26,0.39,0.59,0.21,0.21",20,,
br,camiseta uv folgada,,,,,,,,,,,,,,,,
br,camiseta uv gola alta,,,,,,40,0,0.09,1.00,,,,"0.18,0.27,0.18,0.27,0.36,0.27,0.63,0.45,0.45,0.45,0.36,0.45",,,
br,camiseta uv infantil,,,,,,720,11,0.17,1.00,168,Commercial,"Image, Short Videos, Image Pack, Video, Adwords Bottom, Video Carousel, Popular Products, Related Searches, Site Links","0.08,0.03,0.04,0.08,0.16,0.20,0.36,0.52,0.36,0.24,0.10,0.16",20,,
br,camiseta uv masculina,,,,,,2900,17,0.11,1.00,200,Commercial,"Video, People Also Ask, Popular Products, Related Searches, Image Pack, Site Links","0.43,0.24,0.24,0.28,0.43,0.43,0.66,1.00,0.81,0.54,0.43,0.36",20,,
br,camiseta uv masculina manga longa,,,,,,590,12,0.11,1.00,181,Commercial,"Site Links, Video, People Also Ask, Popular Products, Related Searches","0.13,0.11,0.11,0.11,0.16,0.20,0.25,0.46,0.46,1.00,0.31,0.25",20,,
br,camiseta uv para criança,,,,,,0,0,0.00,0.99,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,camiseta uv slim,,,,,,,,,,,,,,,,
br,camiseta uv surf,,,,,,10,0,0.16,0.99,,,,"0.00,0.00,0.00,0.00,0.04,0.00,0.14,0.19,0.09,0.04,0.14,0.09",,,
br,camiseta uv50,,,,,,70,0,0.10,1.00,,,,"0.00,0.04,0.03,0.02,0.02,0.03,0.29,0.04,0.44,0.01,0.00,0.01",,,
br,camisetas femininas surf,,,,,,210,9,0.11,1.00,174,Commercial,"Site Links, Video, Popular Products, Related Searches","0.23,0.23,0.15,0.19,0.29,0.29,0.36,0.54,0.36,0.19,0.23,0.23",20,,
br,camisetas lycra surf,,,,,,70,0,0.11,1.00,,,,"0.04,0.09,0.23,0.14,0.33,0.33,0.52,0.42,0.42,0.52,0.33,0.42",,,
br,canga de praia,,,,,,14800,19,0.10,1.00,209,Informational,"Image Pack, Site Links, Video, People Also Ask, Popular Products, Related Searches, Short Videos","0.20,0.16,0.20,0.20,0.29,0.36,0.54,1.00,0.81,0.36,0.24,0.29",20,,
br,canga de praia grande,,,,,,590,21,0.09,1.00,212,"Informational, Commercial","Site Links, Video, People Also Ask, Popular Products, Related Searches, Image Pack","0.20,0.13,0.11,0.16,0.25,0.25,0.31,1.00,0.84,0.37,0.25,0.31",20,,
br,canga estampada,,,,,,140,7,0.29,1.00,201,"Informational, Commercial","Related Searches, Short Videos, Adwords Middle, Image Pack, Site Links, Video, Image, Popular Products","0.26,0.19,0.34,0.65,0.53,0.42,0.65,0.80,0.80,0.42,0.34,0.34",20,,
br,capa de banho praia,,,,,,,,,,,,,,,,
br,capuz de neoprene surf,,,,,,,,,,,,,,,,
br,colete de neoprene,,,,,,110,4,0.13,1.00,763000,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Video, Image","0.52,0.42,0.52,0.42,0.33,0.42,0.33,0.33,0.66,0.42,0.33,0.52",20,,
br,como começar a surfar,,,,,,20,0,0.13,0.33,,,,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,,
br,como conservar roupa de praia,,,,,,,,,,,,,,,,
br,como escolher lycra de surf,,,,,,,,,,,,,,,,
br,como escolher maio de surf,,,,,,,,,,,,,,,,
br,como escolher roupa de neoprene,,,,,,,,,,,,,,,,
br,como escolher tamanho de roupa de surf,,,,,,,,,,,,,,,,
br,como evitar assadura no surf,,,,,,,,,,,,,,,,
br,como lavar lycra de surf,,,,,,,,,,,,,,,,
br,como lavar roupa de neoprene,,,,,,20,0,0.00,0.01,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,,
br,como lavar roupa de praia,,,,,,20,0,0.00,0.33,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.28,0.14,0.14,0.14",,,
br,como medir tamanho de biquini,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,como se proteger do sol no surf,,,,,,0,0,0.00,0.00,,,,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,,
br,como se trocar na praia,,,,,,,,,,,,,,,,
br,como secar roupa de surf,,,,,,,,,,,,,,,,
